Date,Open,High,Low,Close,Volume,Chg%
24-Mar-23,14.49,15.43,14.2025,15.24,0,5.18%
27-Mar-23,15.24,16.0925,15.0975,15.445,0,1.35%
28-Mar-23,15.445,15.6075,14.865,15.1,0,-2.23%
29-Mar-23,15.1,15.1,13.32,13.6275,0,-9.75%
31-Mar-23,13.6275,13.6275,12.0725,12.935,0,-5.08%
03-Apr-23,12.935,13.49,12.465,12.585,0,-2.71%
05-Apr-23,12.585,12.805,12.0525,12.4125,0,-1.37%
06-Apr-23,12.4125,12.57,11.65,11.7975,0,-4.95%
10-Apr-23,11.7975,12.5625,11.7975,12.2725,0,4.03%
11-Apr-23,12.2725,12.2725,11.665,11.975,0,-2.42%
12-Apr-23,11.975,12.395,11.975,12.2725,0,2.48%
13-Apr-23,12.2725,12.51,11.84,11.9075,0,-2.97%
17-Apr-23,11.9075,13.2725,11.9075,12.265,0,3.00%
18-Apr-23,12.265,12.525,11.8625,12.075,0,-1.55%
19-Apr-23,12.075,12.47,11.1075,12.1525,0,0.64%
20-Apr-23,12.1525,12.3975,11.58,11.94,0,-1.75%
21-Apr-23,11.94,12.04,11.52,11.63,0,-2.60%
24-Apr-23,11.63,12.205,11.58,11.6675,0,0.32%
25-Apr-23,11.6675,11.8125,11.425,11.52,0,-1.26%
26-Apr-23,11.52,11.8975,11.2975,11.6525,0,1.15%
27-Apr-23,11.6525,12.02,10.96,11.425,0,-1.95%
28-Apr-23,11.425,11.5425,10.7875,10.9475,0,-4.18%
02-May-23,10.9475,12.0625,10.9475,11.8975,0,8.68%
03-May-23,11.8975,12.25,11.13,11.84,0,-0.48%
04-May-23,11.84,12.03,11.185,11.7325,0,-0.91%
05-May-23,11.7325,12.375,11.53,12.295,0,4.79%
08-May-23,12.295,12.91,11.7225,12.635,0,2.77%
09-May-23,12.635,12.815,11.6575,12.6775,0,0.34%
10-May-23,12.6775,13.2975,11.5425,13.0825,0,3.19%
11-May-23,13.0825,13.74,12.815,13.215,0,1.01%
12-May-23,13.215,13.51,12.7375,12.8525,0,-2.74%
15-May-23,12.8525,13.615,12.5375,13.1725,0,2.49%
16-May-23,13.1725,13.485,11.71,13.2925,0,0.91%
17-May-23,13.2925,13.58,11.895,13.105,0,-1.41%
18-May-23,13.105,13.105,11.1375,12.795,0,-2.37%
19-May-23,12.795,12.82,11.6875,12.3025,0,-3.85%
22-May-23,12.3025,12.82,11.555,12.57,0,2.17%
23-May-23,12.57,13.075,12.3175,12.605,0,0.28%
24-May-23,12.605,13.4375,12.41,13.1125,0,4.03%
25-May-23,13.1125,13.1325,8.1825,12.52,0,-4.52%
26-May-23,12.52,12.8575,11.7,11.9,0,-4.95%
29-May-23,11.9,12.4925,8.8075,12.2975,0,3.34%
30-May-23,12.2975,12.38,11.7675,12.01,0,-2.34%
31-May-23,12.01,12.4675,11.58,11.9725,0,-0.31%
01-Jun-23,11.9725,11.9725,11.22,11.5975,0,-3.13%
02-Jun-23,11.5975,11.735,10.86,11.125,0,-4.07%
05-Jun-23,11.125,11.335,10.3225,11.1375,0,0.11%
06-Jun-23,11.1375,11.6175,10.465,11.38,0,2.18%
07-Jun-23,11.38,11.5375,9.6375,11.4425,0,0.55%
08-Jun-23,11.4425,11.5675,10.13,11.2575,0,-1.62%
09-Jun-23,11.2575,11.2975,10.3075,11.12,0,-1.22%
12-Jun-23,11.12,11.8025,10.5825,11.245,0,1.12%
13-Jun-23,11.245,11.25,9.99,11.11,0,-1.20%
14-Jun-23,11.11,11.3675,10.6325,11.1625,0,0.47%
15-Jun-23,11.1625,11.37,9.6925,11.08,0,-0.74%
16-Jun-23,11.08,11.08,10.5575,10.84,0,-2.17%
19-Jun-23,10.84,11.4975,10.33,11.225,0,3.55%
20-Jun-23,11.225,11.4375,10.5675,11.1325,0,-0.82%
21-Jun-23,11.1325,11.4325,10.77,11.2925,0,1.44%
22-Jun-23,11.2925,11.7125,10.6925,11.5475,0,2.26%
23-Jun-23,11.5475,11.8375,11.1425,11.235,0,-2.71%
26-Jun-23,11.235,11.925,11.235,11.395,0,1.42%
27-Jun-23,11.395,11.4225,10.6925,10.7775,0,-5.42%
28-Jun-23,10.7775,11.535,10.6525,10.8875,0,1.02%
30-Jun-23,10.8875,11.215,10.07,10.8,0,-0.80%
03-Jul-23,10.8,12.03,10.8,11.54,0,6.85%
04-Jul-23,11.54,11.99,11.5225,11.7,0,1.39%
05-Jul-23,11.7,12.21,11.5675,11.8825,0,1.56%
06-Jul-23,11.8825,12.205,11.7775,11.84,0,-0.36%
07-Jul-23,11.84,12.0725,11.08,11.5325,0,-2.60%
10-Jul-23,11.5325,12.01,11.36,11.4625,0,-0.61%
11-Jul-23,11.4625,11.4625,10.945,11.0125,0,-3.93%
12-Jul-23,11.0125,11.2,10.72,10.935,0,-0.70%
13-Jul-23,10.935,11.1725,10.695,10.9375,0,0.02%
14-Jul-23,10.9375,10.9375,10.6125,10.6825,0,-2.33%
17-Jul-23,10.6825,11.3975,9.8575,11.315,0,5.92%
18-Jul-23,11.315,12.02,11.0675,11.71,0,3.49%
19-Jul-23,11.71,11.9375,11.54,11.6,0,-0.94%
20-Jul-23,11.6,12.255,11.37,11.785,0,1.59%
21-Jul-23,11.785,12.0325,11.06,11.485,0,-2.55%
24-Jul-23,11.485,11.995,10.5375,11.6525,0,1.46%
25-Jul-23,11.6525,11.6525,10.1125,10.2425,0,-12.10%
26-Jul-23,10.2425,10.8625,10.2175,10.4575,0,2.10%
27-Jul-23,10.4575,10.9825,9.8875,10.5125,0,0.53%
28-Jul-23,10.5125,10.81,10.035,10.135,0,-3.59%
31-Jul-23,10.135,11.1875,10.135,10.4125,0,2.74%
01-Aug-23,10.4125,10.7025,10.195,10.2825,0,-1.25%
02-Aug-23,10.2825,11.805,9.95,11.2775,0,9.68%
03-Aug-23,11.2775,11.96,10.9825,11.185,0,-0.82%
04-Aug-23,11.185,11.185,10.4825,10.5725,0,-5.48%
07-Aug-23,10.5725,11.4175,10.4025,11.1025,0,5.01%
08-Aug-23,11.1025,11.53,11.1025,11.325,0,2.00%
09-Aug-23,11.325,11.765,10.485,11.14,0,-1.63%
10-Aug-23,11.14,11.91,10.6275,11.4,0,2.33%
11-Aug-23,11.4,11.865,11.355,11.5225,0,1.07%
14-Aug-23,11.5225,12.755,10.4775,11.995,0,4.10%
16-Aug-23,11.995,12.6825,11.995,12.125,0,1.08%
17-Aug-23,12.125,12.665,12.1125,12.24,0,0.95%
18-Aug-23,12.24,12.4925,10.7875,12.1425,0,-0.80%
21-Aug-23,12.1425,12.59,11.1725,11.96,0,-1.50%
22-Aug-23,11.96,12.085,11.59,11.7475,0,-1.78%
23-Aug-23,11.7475,11.885,10.3075,11.7275,0,-0.17%
24-Aug-23,11.7275,12.235,10.1975,11.7,0,-0.23%
25-Aug-23,11.7,12.2425,9.98,12.0825,0,3.27%
28-Aug-23,12.0825,12.72,9.5,12.3975,0,2.61%
29-Aug-23,12.3975,12.4625,10.6475,12.225,0,-1.39%
30-Aug-23,12.225,12.2425,11.4625,11.8,0,-3.48%
31-Aug-23,11.8,12.28,11.76,12.0625,0,2.22%
01-Sep-23,12.0625,12.18,10.4075,11.365,0,-5.78%
04-Sep-23,11.365,11.5425,10.86,10.9625,0,-3.54%
05-Sep-23,10.9625,11.085,9.365,10.815,0,-1.35%
06-Sep-23,10.815,10.975,9.805,10.6775,0,-1.27%
07-Sep-23,10.6775,11.025,9.8,10.8725,0,1.83%
08-Sep-23,10.8725,10.97,10.0775,10.78,0,-0.85%
11-Sep-23,10.78,11.5,10.3375,11.3475,0,5.26%
12-Sep-23,11.3475,12.0225,10.7125,11.69,0,3.02%
13-Sep-23,11.69,12.0475,11.535,11.8275,0,1.18%
14-Sep-23,11.8275,12.0425,11.21,11.3175,0,-4.31%
15-Sep-23,11.3175,11.32,10.0725,10.9025,0,-3.67%
18-Sep-23,10.9025,11.4075,10.45,10.835,0,-0.62%
20-Sep-23,10.835,11.47,10.835,11.1275,0,2.70%
21-Sep-23,11.1275,11.39,10.62,10.8175,0,-2.79%
22-Sep-23,10.8175,11.0725,10.3925,10.66,0,-1.46%
25-Sep-23,10.66,11.305,10.2725,10.9,0,2.25%
26-Sep-23,10.9,11.29,9.2475,11.185,0,2.61%
27-Sep-23,11.185,11.8225,9.39,11.585,0,3.58%
28-Sep-23,11.585,13.0225,9.3975,12.8225,0,10.68%
29-Sep-23,12.8225,12.8225,11.3075,11.4525,0,-10.68%
03-Oct-23,11.4525,12.4075,10.775,11.7875,0,2.93%
04-Oct-23,11.7875,12.22,11.115,11.655,0,-1.12%
05-Oct-23,11.655,11.655,10.8425,10.94,0,-6.13%
06-Oct-23,10.94,10.94,9.73,10.3,0,-5.85%
09-Oct-23,10.3,11.6325,10.12,11.4,0,10.68%
10-Oct-23,11.4,11.4,10.855,11.27,0,-1.14%
11-Oct-23,11.27,11.3225,10.39,10.985,0,-2.53%
12-Oct-23,10.985,11.1175,10.565,10.6175,0,-3.35%
13-Oct-23,10.6175,11.025,10.4025,10.6175,0,0.00%
16-Oct-23,10.6175,11.1525,9.1525,11.07,0,4.26%
17-Oct-23,11.07,11.07,10.4275,10.695,0,-3.39%
18-Oct-23,10.695,11.17,10.485,10.965,0,2.52%
19-Oct-23,10.965,11.2125,10.0475,10.8975,0,-0.62%
20-Oct-23,10.8975,11.09,10.075,10.8175,0,-0.73%
23-Oct-23,10.8175,11.3575,8.825,10.905,0,0.81%
25-Oct-23,10.905,12.1775,9.965,11.3125,0,3.74%
26-Oct-23,11.3125,12.7,11.3125,11.73,0,3.69%
27-Oct-23,11.73,12.305,10.6725,10.905,0,-7.03%
30-Oct-23,10.905,12.1925,10.905,11.49,0,5.36%
31-Oct-23,11.49,12.285,11.2625,11.825,0,2.92%
01-Nov-23,11.825,12.195,11.825,12.0475,0,1.88%
02-Nov-23,12.0475,12.0475,10.9475,11.075,0,-8.07%
03-Nov-23,11.075,11.075,10.635,10.8825,0,-1.74%
06-Nov-23,10.8825,11.28,10.38,11.105,0,2.04%
07-Nov-23,11.105,12.1775,11,11.1925,0,0.79%
08-Nov-23,11.1925,11.3325,10.63,11.0375,0,-1.38%
09-Nov-23,11.0375,11.2525,10.37,10.9825,0,-0.50%
10-Nov-23,10.9825,11.3575,9.86,11.1075,0,1.14%
12-Nov-23,9.7525,11.54,9.7525,11.3475,0,2.16%
13-Nov-23,11.3475,11.6325,10.5025,11.1875,0,-1.41%
15-Nov-23,11.1875,11.4175,8.395,11.135,0,-0.47%
16-Nov-23,11.135,11.8075,10.6175,11.6475,0,4.60%
17-Nov-23,11.6475,12.09,10.19,11.8275,0,1.55%
20-Nov-23,11.8275,12.67,11.2,12.1475,0,2.71%
21-Nov-23,12.1475,12.435,10.755,12.2325,0,0.70%
22-Nov-23,12.2325,12.7075,11.0225,11.865,0,-3.00%
23-Nov-23,11.865,12.14,10.975,11.315,0,-4.64%
24-Nov-23,11.315,11.465,8.6775,11.33,0,0.13%
